Team ID,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Team,Team,Team,Team,Team,Unnamed: 14_level_0,Opponent,Opponent,Opponent,Opponent,Opponent,Unnamed: 20_level_0,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
,GP,Date,Unnamed: 2_level_1,Opponent,GF,GA,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,S,PIM,PPG,PPO,SHG,Unnamed: 14_level_1,S,PIM,PPG,PPO,SHG,Unnamed: 20_level_1,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
STL,1,2024-10-08,@,Seattle Kraken,3,2,W,,,25,11,1,2,0,,32,13,0,1,0,,54,64,45.8,38,46,45.2,35,29,54.7,50.0,102.0
STL,2,2024-10-10,@,San Jose Sharks,5,4,W,OT,,40,4,0,2,0,,29,4,1,2,1,,70,41,63.1,48,26,64.9,32,23,58.2,46.9,104.4
STL,3,2024-10-11,@,Vegas Golden Knights,3,4,L,,,22,4,1,2,0,,28,4,0,2,0,,46,40,53.5,30,32,48.4,26,23,53.1,67.9,93.5
STL,4,2024-10-15,,Minnesota Wild,1,4,L,,,28,10,0,2,0,,27,4,2,5,1,,60,48,55.6,38,35,52.1,19,15,55.9,52.4,100.5
STL,5,2024-10-17,,New York Islanders,1,0,W,OT,,30,6,0,1,0,,34,4,0,2,0,,53,49,52.0,33,37,47.1,17,21,44.7,46.1,103.6
STL,6,2024-10-19,,Carolina Hurricanes,4,3,W,,,19,10,0,4,0,,40,14,1,3,0,,28,58,32.6,23,47,32.9,28,27,50.9,26.1,117.8
STL,7,2024-10-22,,Winnipeg Jets,2,3,L,,,29,4,0,2,0,,24,4,1,2,0,,55,52,51.4,37,33,52.9,19,23,45.2,48.4,97.7
STL,8,2024-10-24,@,Toronto Maple Leafs,5,1,W,,,27,10,1,2,0,,41,6,0,4,0,,37,67,35.6,30,46,39.5,17,32,34.7,36.4,112.7
STL,9,2024-10-26,@,Montreal Canadiens,2,5,L,,,31,6,0,3,0,,26,6,1,3,0,,54,50,51.9,36,36,50.0,21,18,53.8,52.0,92.3
STL,10,2024-10-29,@,Ottawa Senators,1,8,L,,,27,10,1,4,0,,35,12,2,3,0,,42,52,44.7,29,42,40.8,18,29,38.3,49.7,80.6
STL,11,2024-10-31,@,Philadelphia Flyers,1,2,L,,,21,6,0,2,0,,21,4,0,3,0,,60,39,60.6,33,26,55.9,14,20,41.2,59.3,94.1
STL,12,2024-11-02,,Toronto Maple Leafs,4,2,W,,,24,20,0,4,0,,37,20,0,4,0,,38,56,40.4,26,43,37.7,13,24,35.1,52.4,113.0
STL,13,2024-11-05,,Tampa Bay Lightning,3,2,W,,,23,6,0,1,0,,23,2,0,3,0,,42,50,45.7,32,33,49.2,19,18,51.4,44.4,101.9
STL,14,2024-11-07,,Utah Hockey Club,2,4,L,,,15,21,0,3,0,,31,24,0,2,0,,32,55,36.8,16,41,28.1,23,31,42.6,47.4,102.9
STL,15,2024-11-09,,Washington Capitals,1,8,L,,,25,6,0,3,0,,27,8,2,2,0,,42,40,51.2,25,34,42.4,23,20,53.5,56.6,75.9
STL,16,2024-11-12,,Boston Bruins,2,3,L,,,22,8,2,3,0,,30,6,0,4,0,,31,44,41.3,22,36,37.9,16,22,42.1,40.9,86.4
